timestamp,source_file,elapsed_seconds,interval_operations,throughput_ops_per_second,average_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,marked_outlier
2026-08-30T03:05:38.884000+00:00,run_10_continuous.log,850,27910,2792.32,3.5718,2.271,4.811,35.167,False
2026-08-30T03:05:48.883000+00:00,run_10_continuous.log,860,37310,3729.35,2.6726300000000003,2.145,3.693,18.271,False
2026-08-30T03:05:58.882000+00:00,run_10_continuous.log,870,33111,3310.93,3.01152,2.179,4.025,27.167,False
2026-08-30T03:06:08.881000+00:00,run_10_continuous.log,880,28338,2835.98,3.5174499999999997,2.231,4.767,34.047,False
2026-08-30T03:06:18.881000+00:00,run_10_continuous.log,890,41084,4106.51,2.4269000000000003,2.181,3.671,6.291,False
2026-08-30T03:06:28.880000+00:00,run_10_continuous.log,900,37226,3724.9,2.6751199999999997,2.147,3.661,9.223,False
2026-08-30T03:06:38.884000+00:00,run_10_continuous.log,910,35133,3511.7,2.83417,2.261,4.191,12.479,False
2026-08-30T03:06:48.880000+00:00,run_10_continuous.log,920,14115,1413.1,2.44003,2.169,3.639,6.051,False
2026-08-30T03:06:58.881000+00:00,run_10_continuous.log,930,35829,3579.34,4.609439999999999,2.155,3.717,8.911,False
2026-08-30T03:07:08.882000+00:00,run_10_continuous.log,940,33790,3380.44,2.94753,2.295,4.343,17.247,False
2026-08-30T03:07:18.881000+00:00,run_10_continuous.log,950,41200,4122.1,2.4161799999999998,2.183,3.627,6.319,False
2026-08-30T03:07:28.880000+00:00,run_10_continuous.log,960,38914,3890.5,2.55672,2.141,3.705,8.455,False
2026-08-30T03:07:38.885000+00:00,run_10_continuous.log,970,34170,3416.36,2.91758,2.279,4.359,16.127,False
2026-08-30T03:07:48.880000+00:00,run_10_continuous.log,980,41076,4109.11,2.4237399999999996,2.169,3.685,6.339,False
2026-08-30T03:07:58.884000+00:00,run_10_continuous.log,990,39592,3958.0,2.51835,2.147,3.657,7.999,False
2026-08-30T03:08:08.885000+00:00,run_10_continuous.log,1000,32705,3271.73,3.04554,2.311,4.419,17.679,False
2026-08-30T03:08:18.881000+00:00,run_10_continuous.log,1010,41013,4100.79,2.42956,2.163,3.701,6.811,False
2026-08-30T03:08:28.880000+00:00,run_10_continuous.log,1020,39290,3929.49,2.53555,2.159,3.695,7.747,False
2026-08-30T03:08:38.881000+00:00,run_10_continuous.log,1030,33951,3395.0,2.9343000000000004,2.277,4.339,17.023,False
2026-08-30T03:08:48.883000+00:00,run_10_continuous.log,1040,41262,4125.89,2.41501,2.161,3.671,6.487,False
2026-08-30T03:08:58.884000+00:00,run_10_continuous.log,1050,39389,3938.49,2.53071,2.145,3.733,8.055,False
2026-08-30T03:09:08.882000+00:00,run_10_continuous.log,1060,33922,3392.56,2.93443,2.273,4.331,16.719,False
2026-08-30T03:09:18.880000+00:00,run_10_continuous.log,1070,41246,4125.11,2.41471,2.161,3.659,6.331,False
2026-08-30T03:09:28.882000+00:00,run_10_continuous.log,1080,39699,3968.11,2.51144,2.141,3.699,7.639,False
2026-08-30T03:09:38.882000+00:00,run_10_continuous.log,1090,34017,3401.48,2.9298800000000003,2.231,4.255,17.039,False
2026-08-30T03:09:48.882000+00:00,run_10_continuous.log,1100,41318,4132.5,2.41086,2.153,3.675,6.479,False
2026-08-30T03:09:58.880000+00:00,run_10_continuous.log,1110,39329,3934.1,2.53156,2.153,3.697,8.127,False
2026-08-30T03:10:08.883000+00:00,run_10_continuous.log,1120,32913,3290.9,3.0282199999999997,2.291,4.467,17.439,False
2026-08-30T03:10:18.882000+00:00,run_10_continuous.log,1130,39624,3962.5,2.5143899999999997,2.223,3.911,6.923,False
2026-08-30T03:10:28.881000+00:00,run_10_continuous.log,1140,38126,3812.8,2.61358,2.165,3.871,8.807,False
2026-08-30T03:10:38.880000+00:00,run_10_continuous.log,1150,33093,3309.4,3.0123699999999998,2.299,4.467,17.935,False
2026-08-30T03:10:48.888000+00:00,run_10_continuous.log,1160,40519,4049.07,2.4589899999999996,2.175,3.769,6.823,False
2026-08-30T03:10:58.883000+00:00,run_10_continuous.log,1170,39035,3904.83,2.55248,2.169,3.759,7.843,False
2026-08-30T03:11:08.881000+00:00,run_10_continuous.log,1180,33484,3349.7,2.9746300000000003,2.287,4.411,16.975,False
2026-08-30T03:11:18.881000+00:00,run_10_continuous.log,1190,40993,4099.4,2.42958,2.173,3.695,6.455,False
2026-08-30T03:11:28.883000+00:00,run_10_continuous.log,1200,39385,3937.71,2.52963,2.153,3.675,7.931,False
2026-08-30T03:11:38.881000+00:00,run_10_continuous.log,1210,33755,3376.18,2.952,2.267,4.335,16.247,False
2026-08-30T03:11:48.882000+00:00,run_10_continuous.log,1220,41099,4107.69,2.42608,2.165,3.679,6.375,False
2026-08-30T03:11:58.881000+00:00,run_10_continuous.log,1230,39510,3952.3,2.5215500000000004,2.139,3.723,7.983,False
2026-08-30T03:12:08.882000+00:00,run_10_continuous.log,1240,33803,3380.76,2.94902,2.253,4.187,17.487,False
2026-08-30T03:12:18.883000+00:00,run_10_continuous.log,1250,36828,3682.0,2.70554,2.267,4.243,9.663,False
2026-08-30T03:12:28.881000+00:00,run_10_continuous.log,1260,39464,3945.9,2.5252399999999997,2.151,3.693,7.403,False
2026-08-30T03:12:38.881000+00:00,run_10_continuous.log,1270,33585,3360.24,2.96726,2.277,4.335,15.607,False
2026-08-30T03:12:48.883000+00:00,run_10_continuous.log,1280,41418,4139.16,2.40661,2.163,3.641,6.343,False
2026-08-30T03:12:58.882000+00:00,run_10_continuous.log,1290,39297,3932.08,2.53423,2.157,3.705,7.815,False
2026-08-30T03:13:08.880000+00:00,run_10_continuous.log,1300,33378,3337.6,2.98391,2.299,4.443,15.831,False
2026-08-30T03:13:18.884000+00:00,run_10_continuous.log,1310,40791,4078.1,2.44457,2.187,3.731,6.683,False
2026-08-30T03:13:28.882000+00:00,run_10_continuous.log,1320,39161,3917.5,2.54292,2.157,3.703,7.975,False
2026-08-30T03:13:38.882000+00:00,run_10_continuous.log,1330,34331,3432.66,2.90313,2.231,4.207,16.183,False
2026-08-30T03:13:48.882000+00:00,run_10_continuous.log,1340,42099,4208.18,2.36721,2.131,3.573,6.067,False
2026-08-30T03:13:58.881000+00:00,run_10_continuous.log,1350,39899,3991.7,2.49587,2.135,3.603,7.475,False
2026-08-30T03:14:08.883000+00:00,run_10_continuous.log,1360,34195,3417.76,2.91481,2.221,4.163,16.687,False
2026-08-30T03:14:18.883000+00:00,run_10_continuous.log,1370,41229,4124.71,2.41555,2.155,3.691,6.459,False
2026-08-30T03:14:28.883000+00:00,run_10_continuous.log,1380,39110,3909.8,2.5474699999999997,2.165,3.717,7.959,False
2026-08-30T03:14:38.880000+00:00,run_10_continuous.log,1390,33938,3395.34,2.93558,2.261,4.275,16.975,False
2026-08-30T03:14:48.881000+00:00,run_10_continuous.log,1400,41425,4142.4,2.40496,2.167,3.645,6.383,False
2026-08-30T03:14:58.883000+00:00,run_10_continuous.log,1410,38441,3843.43,2.59293,2.195,3.801,8.167,False
2026-08-30T03:15:08.884000+00:00,run_10_continuous.log,1420,33643,3363.23,2.96256,2.263,4.319,17.151,False
2026-08-30T03:15:18.880000+00:00,run_10_continuous.log,1430,41042,4106.24,2.42452,2.181,3.685,6.419,False
2026-08-30T03:15:28.882000+00:00,run_10_continuous.log,1440,39536,3952.81,2.5214000000000003,2.167,3.687,7.703,False
2026-08-30T03:15:38.881000+00:00,run_10_continuous.log,1450,33986,3399.28,2.9314400000000003,2.247,4.319,17.327,False
2026-08-30T03:15:48.884000+00:00,run_10_continuous.log,1460,41623,4160.58,2.3948,2.169,3.599,6.095,False
2026-08-30T03:15:58.882000+00:00,run_10_continuous.log,1470,39858,3987.1,2.4975300000000002,2.133,3.627,7.627,False
2026-08-30T03:16:08.883000+00:00,run_10_continuous.log,1480,34236,3423.56,2.9129099999999997,2.243,4.199,16.975,False
2026-08-30T03:16:18.880000+00:00,run_10_continuous.log,1490,41088,4108.81,2.42335,2.175,3.691,6.595,False
2026-08-30T03:16:28.882000+00:00,run_10_continuous.log,1500,39859,3986.0,2.4997800000000003,2.137,3.623,7.543,False
2026-08-30T03:16:38.885000+00:00,run_10_continuous.log,1510,33991,3397.54,2.93397,2.235,4.327,17.423,False
