bin_start_utc,bin_end_utc,offered_ops_per_sec,completed_ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms
2026-08-30T21:55:57.132632+00:00,2026-08-30T21:56:07.132632+00:00,500.0,500.0,2.0350432,1.6385,3.087,8.384040000000022,45.018
2026-08-30T21:56:07.132632+00:00,2026-08-30T21:56:17.132632+00:00,500.0,500.0,5.9366145999999995,1.764,20.247100000000014,106.78101000000001,293.74
2026-08-30T21:56:17.132632+00:00,2026-08-30T21:56:27.132632+00:00,500.0,499.9,2.9739800000000005,1.74,5.165300000000005,40.869650000000036,77.443
2026-08-30T21:56:27.132632+00:00,2026-08-30T21:56:37.132632+00:00,500.0,500.1,2.1365644,1.6635,3.3451000000000004,11.760190000000026,35.56
2026-08-30T21:56:37.132632+00:00,2026-08-30T21:56:47.132632+00:00,499.9,499.9,5.480238647729546,1.781,9.980999999999963,112.60191999999869,215.763
2026-08-30T21:56:47.132632+00:00,2026-08-30T21:56:57.132632+00:00,500.1,500.0,5.423781443711257,1.833,11.827,110.464,170.269
2026-08-30T21:56:57.132632+00:00,2026-08-30T21:57:07.132632+00:00,500.0,500.0,2.1660228000000004,1.6715,3.26,11.539520000000099,35.072
2026-08-30T21:57:07.132632+00:00,2026-08-30T21:57:17.132632+00:00,500.0,500.0,6.6626146,1.723,11.923050000000021,166.9381100000002,227.119
2026-08-30T21:57:17.132632+00:00,2026-08-30T21:57:27.132632+00:00,500.0,500.1,2.9968658,1.81,6.237250000000008,31.73047000000001,111.278
2026-08-30T21:57:27.132632+00:00,2026-08-30T21:57:37.132632+00:00,500.0,500.0,2.1700442000000004,1.6775,3.2864000000000013,10.542160000000026,40.436
2026-08-30T21:57:37.132632+00:00,2026-08-30T21:57:47.132632+00:00,500.0,500.0,5.890972799999999,1.7065000000000001,9.625100000000044,129.34889000000018,203.641
2026-08-30T21:57:47.132632+00:00,2026-08-30T21:57:57.132632+00:00,500.0,500.0,2.4902110000000004,1.5755,4.362450000000002,22.874230000000004,66.672
2026-08-30T21:57:57.132632+00:00,2026-08-30T21:58:07.132632+00:00,500.0,499.9,1.9677487999999999,1.5105,2.8967500000000026,9.711530000000012,33.738
2026-08-30T21:58:07.132632+00:00,2026-08-30T21:58:17.132632+00:00,499.9,500.0,4.402617523504701,1.756,12.932099999999956,65.26261999999994,163.423
2026-08-30T21:58:17.132632+00:00,2026-08-30T21:58:27.132632+00:00,500.1,500.1,2.5441171765646873,1.715,5.441,19.553,53.861
